week,category,qty
2015-01-19,Tennis & Racquet,7
2015-01-19,Trade-In,37
2015-01-19,Water Sports,102
2015-01-19,Women's Apparel,380
2015-01-26,Accessories,37
2015-01-26,Baseball & Softball,15
2015-01-26,Boxing & MMA,9
2015-01-26,Camping & Hiking,90
2015-01-26,Cardio Equipment,251
2015-01-26,Cleats,522
2015-01-26,Electronics,90
2015-01-26,Fishing,114
2015-01-26,Fitness Accessories,9
2015-01-26,Girls' Apparel,28
2015-01-26,Golf Apparel,2
2015-01-26,Golf Balls,38
2015-01-26,Golf Gloves,29
2015-01-26,Golf Shoes,19
2015-01-26,Hockey,10
2015-01-26,Hunting & Shooting,8
2015-01-26,Indoor/Outdoor Games,388
2015-01-26,Lacrosse,3
2015-01-26,Men's Footwear,148
2015-01-26,Shop By Sport,230
2015-01-26,Tennis & Racquet,10
2015-01-26,Trade-In,20
2015-01-26,Water Sports,129
2015-01-26,Women's Apparel,483
2015-02-02,Accessories,16
2015-02-02,Baseball & Softball,9
2015-02-02,Boxing & MMA,4
2015-02-02,Camping & Hiking,99
2015-02-02,Cardio Equipment,229
2015-02-02,Cleats,468
2015-02-02,Electronics,90
2015-02-02,Fishing,96
2015-02-02,Fitness Accessories,4
2015-02-02,Girls' Apparel,24
2015-02-02,Golf Apparel,9
2015-02-02,Golf Balls,25
2015-02-02,Golf Gloves,28
2015-02-02,Golf Shoes,5
2015-02-02,Hockey,20
2015-02-02,Hunting & Shooting,14
2015-02-02,Indoor/Outdoor Games,428
2015-02-02,Lacrosse,8
2015-02-02,Men's Footwear,189
2015-02-02,Shop By Sport,244
2015-02-02,Tennis & Racquet,12
2015-02-02,Trade-In,16
2015-02-02,Water Sports,119
2015-02-02,Women's Apparel,396
2015-02-09,Accessories,35
2015-02-09,Baseball & Softball,21
2015-02-09,Boxing & MMA,5
2015-02-09,Camping & Hiking,95
2015-02-09,Cardio Equipment,241
2015-02-09,Cleats,509
2015-02-09,Electronics,64
2015-02-09,Fishing,121
2015-02-09,Fitness Accessories,1
2015-02-09,Girls' Apparel,55
2015-02-09,Golf Apparel,15
2015-02-09,Golf Balls,36
2015-02-09,Golf Gloves,20
2015-02-09,Golf Shoes,11
2015-02-09,Hockey,26
2015-02-09,Hunting & Shooting,11
2015-02-09,Indoor/Outdoor Games,385
2015-02-09,Lacrosse,5
2015-02-09,Men's Footwear,145
2015-02-09,Shop By Sport,210
2015-02-09,Tennis & Racquet,6
2015-02-09,Trade-In,16
2015-02-09,Water Sports,98
2015-02-09,Women's Apparel,410
2015-02-16,Accessories,50
2015-02-16,Baseball & Softball,4
2015-02-16,Camping & Hiking,101
2015-02-16,Cardio Equipment,291
2015-02-16,Cleats,510
2015-02-16,Electronics,91
2015-02-16,Fishing,109
2015-02-16,Fitness Accessories,7
2015-02-16,Girls' Apparel,36
2015-02-16,Golf Apparel,3
2015-02-16,Golf Balls,23
2015-02-16,Golf Gloves,14
2015-02-16,Golf Shoes,9
2015-02-16,Hockey,14
2015-02-16,Hunting & Shooting,7
2015-02-16,Indoor/Outdoor Games,416
2015-02-16,Lacrosse,7
2015-02-16,Men's Footwear,143
2015-02-16,Shop By Sport,241
2015-02-16,Tennis & Racquet,4
2015-02-16,Trade-In,19
2015-02-16,Water Sports,103
2015-02-16,Women's Apparel,504
2015-02-23,Accessories,48
2015-02-23,Baseball & Softball,8
2015-02-23,Camping & Hiking,95
2015-02-23,Cardio Equipment,233
2015-02-23,Cleats,544
2015-02-23,Electronics,77
2015-02-23,Fishing,120
2015-02-23,Fitness Accessories,7
2015-02-23,Girls' Apparel,27
2015-02-23,Golf Apparel,5
2015-02-23,Golf Balls,45
2015-02-23,Golf Gloves,19
2015-02-23,Golf Shoes,13
2015-02-23,Hockey,10
2015-02-23,Hunting & Shooting,8
2015-02-23,Indoor/Outdoor Games,408
2015-02-23,Men's Footwear,170
2015-02-23,Shop By Sport,267
2015-02-23,Tennis & Racquet,9
2015-02-23,Trade-In,24
2015-02-23,Water Sports,108
2015-02-23,Women's Apparel,468
2015-03-02,Accessories,42
2015-03-02,Baseball & Softball,6
2015-03-02,Boxing & MMA,12
2015-03-02,Camping & Hiking,85
2015-03-02,Cardio Equipment,229
2015-03-02,Cleats,580
2015-03-02,Electronics,103
2015-03-02,Fishing,134
2015-03-02,Fitness Accessories,1
2015-03-02,Girls' Apparel,35
2015-03-02,Golf Balls,68
2015-03-02,Golf Gloves,43
2015-03-02,Golf Shoes,9
2015-03-02,Hockey,8
2015-03-02,Hunting & Shooting,9
2015-03-02,Indoor/Outdoor Games,417
2015-03-02,Lacrosse,16
2015-03-02,Men's Footwear,131
2015-03-02,Shop By Sport,276
2015-03-02,Tennis & Racquet,12
2015-03-02,Trade-In,36
2015-03-02,Water Sports,116
2015-03-02,Women's Apparel,433
2015-03-09,Accessories,43
2015-03-09,Baseball & Softball,8
2015-03-09,Boxing & MMA,7
2015-03-09,Camping & Hiking,95
2015-03-09,Cardio Equipment,314
2015-03-09,Cleats,537
2015-03-09,Electronics,84
2015-03-09,Fishing,107
2015-03-09,Fitness Accessories,1
2015-03-09,Girls' Apparel,33
2015-03-09,Golf Apparel,2
2015-03-09,Golf Balls,20
2015-03-09,Golf Gloves,18
2015-03-09,Golf Shoes,7
2015-03-09,Hockey,11
2015-03-09,Hunting & Shooting,8
2015-03-09,Indoor/Outdoor Games,398
2015-03-09,Lacrosse,2
2015-03-09,Men's Footwear,150
2015-03-09,Shop By Sport,232
2015-03-09,Trade-In,23
2015-03-09,Water Sports,110
2015-03-09,Women's Apparel,411
2015-03-16,Accessories,37
2015-03-16,Baseball & Softball,30
2015-03-16,Boxing & MMA,11
2015-03-16,Camping & Hiking,95
2015-03-16,Cardio Equipment,274
2015-03-16,Cleats,470
2015-03-16,Electronics,90
2015-03-16,Fishing,120
2015-03-16,Fitness Accessories,5
2015-03-16,Girls' Apparel,33
2015-03-16,Golf Apparel,3
2015-03-16,Golf Balls,41
2015-03-16,Golf Gloves,21
2015-03-16,Golf Shoes,16
2015-03-16,Hockey,7
2015-03-16,Hunting & Shooting,9
2015-03-16,Indoor/Outdoor Games,442
2015-03-16,Lacrosse,4
2015-03-16,Men's Footwear,121
2015-03-16,Shop By Sport,225
2015-03-16,Tennis & Racquet,15
2015-03-16,Trade-In,43
2015-03-16,Water Sports,87
2015-03-16,Women's Apparel,436
2015-03-23,Accessories,47
2015-03-23,Baseball & Softball,7
2015-03-23,Boxing & MMA,6
2015-03-23,Camping & Hiking,81
2015-03-23,Cardio Equipment,228
2015-03-23,Cleats,461
2015-03-23,Electronics,69
2015-03-23,Fishing,112
2015-03-23,Fitness Accessories,5
2015-03-23,Girls' Apparel,23
2015-03-23,Golf Apparel,5
2015-03-23,Golf Balls,63
2015-03-23,Golf Gloves,19
2015-03-23,Golf Shoes,10
2015-03-23,Hockey,19
2015-03-23,Hunting & Shooting,4
2015-03-23,Indoor/Outdoor Games,451
2015-03-23,Lacrosse,3
2015-03-23,Men's Footwear,136
2015-03-23,Shop By Sport,256
2015-03-23,Tennis & Racquet,11
2015-03-23,Trade-In,25
2015-03-23,Water Sports,121
2015-03-23,Women's Apparel,488
2015-03-30,Accessories,43
2015-03-30,Baseball & Softball,25
2015-03-30,Boxing & MMA,15
2015-03-30,Camping & Hiking,103
2015-03-30,Cardio Equipment,216
2015-03-30,Cleats,566
2015-03-30,Electronics,59
2015-03-30,Fishing,120
2015-03-30,Fitness Accessories,5
2015-03-30,Girls' Apparel,31
2015-03-30,Golf Apparel,10
2015-03-30,Golf Balls,38
2015-03-30,Golf Gloves,24
2015-03-30,Hockey,8
2015-03-30,Hunting & Shooting,1
2015-03-30,Indoor/Outdoor Games,452
2015-03-30,Lacrosse,9
2015-03-30,Men's Footwear,188
2015-03-30,Shop By Sport,218
2015-03-30,Tennis & Racquet,23
2015-03-30,Trade-In,33
2015-03-30,Water Sports,110
2015-03-30,Women's Apparel,470
2015-04-06,Accessories,32
2015-04-06,Baseball & Softball,15
2015-04-06,Boxing & MMA,17
2015-04-06,Camping & Hiking,116
2015-04-06,Cardio Equipment,264
2015-04-06,Cleats,464
2015-04-06,Electronics,54
2015-04-06,Fishing,123
2015-04-06,Fitness Accessories,10
2015-04-06,Girls' Apparel,53
2015-04-06,Golf Apparel,4
2015-04-06,Golf Balls,39
2015-04-06,Golf Gloves,20
2015-04-06,Golf Shoes,2
2015-04-06,Hockey,21
2015-04-06,Indoor/Outdoor Games,379
2015-04-06,Lacrosse,5
2015-04-06,Men's Footwear,159
2015-04-06,Shop By Sport,241
2015-04-06,Trade-In,33
2015-04-06,Water Sports,113
2015-04-06,Women's Apparel,514
2015-04-13,Accessories,33
2015-04-13,Baseball & Softball,23
2015-04-13,Boxing & MMA,7
2015-04-13,Camping & Hiking,99
2015-04-13,Cardio Equipment,265
2015-04-13,Cleats,581
2015-04-13,Electronics,65
2015-04-13,Fishing,114
2015-04-13,Fitness Accessories,11
2015-04-13,Girls' Apparel,35
2015-04-13,Golf Apparel,17
2015-04-13,Golf Balls,37
2015-04-13,Golf Gloves,19
2015-04-13,Golf Shoes,4
2015-04-13,Hockey,7
2015-04-13,Hunting & Shooting,7
2015-04-13,Indoor/Outdoor Games,433
2015-04-13,Lacrosse,7
2015-04-13,Men's Footwear,151
2015-04-13,Shop By Sport,218
2015-04-13,Trade-In,31
2015-04-13,Water Sports,117
2015-04-13,Women's Apparel,481
2015-04-20,Accessories,32
2015-04-20,Baseball & Softball,7
2015-04-20,Camping & Hiking,86
2015-04-20,Cardio Equipment,281
2015-04-20,Cleats,489
2015-04-20,Electronics,69
2015-04-20,Fishing,119
2015-04-20,Fitness Accessories,26
2015-04-20,Girls' Apparel,29
2015-04-20,Golf Apparel,8
2015-04-20,Golf Balls,56
2015-04-20,Golf Gloves,26
2015-04-20,Golf Shoes,4
2015-04-20,Hockey,12
2015-04-20,Hunting & Shooting,17
2015-04-20,Indoor/Outdoor Games,422
2015-04-20,Lacrosse,3
2015-04-20,Men's Footwear,124
2015-04-20,Shop By Sport,183
2015-04-20,Tennis & Racquet,6
2015-04-20,Trade-In,9
2015-04-20,Water Sports,106
2015-04-20,Women's Apparel,378
2015-04-27,Accessories,23
2015-04-27,Baseball & Softball,11
2015-04-27,Boxing & MMA,3
2015-04-27,Camping & Hiking,85
2015-04-27,Cardio Equipment,275
2015-04-27,Cleats,515
2015-04-27,Electronics,91
2015-04-27,Fishing,130
2015-04-27,Fitness Accessories,17
2015-04-27,Girls' Apparel,19
2015-04-27,Golf Apparel,5
2015-04-27,Golf Balls,31
2015-04-27,Golf Gloves,33
2015-04-27,Golf Shoes,8
2015-04-27,Hockey,10
2015-04-27,Hunting & Shooting,5
2015-04-27,Indoor/Outdoor Games,359
2015-04-27,Lacrosse,10
2015-04-27,Men's Footwear,137
2015-04-27,Shop By Sport,271
2015-04-27,Tennis & Racquet,2
2015-04-27,Trade-In,13
2015-04-27,Water Sports,119
2015-04-27,Women's Apparel,459
2015-05-04,Accessories,47
2015-05-04,Baseball & Softball,15
2015-05-04,Boxing & MMA,11
2015-05-04,Camping & Hiking,78
2015-05-04,Cardio Equipment,341
2015-05-04,Cleats,466
2015-05-04,Electronics,69
2015-05-04,Fishing,105
2015-05-04,Fitness Accessories,1
2015-05-04,Girls' Apparel,35
2015-05-04,Golf Apparel,9
2015-05-04,Golf Balls,48
2015-05-04,Golf Gloves,44
2015-05-04,Golf Shoes,10
2015-05-04,Hockey,19
2015-05-04,Hunting & Shooting,2
2015-05-04,Indoor/Outdoor Games,408
2015-05-04,Lacrosse,16
2015-05-04,Men's Footwear,132
2015-05-04,Shop By Sport,235
2015-05-04,Tennis & Racquet,3
2015-05-04,Trade-In,10
2015-05-04,Water Sports,114
2015-05-04,Women's Apparel,402
2015-05-11,Accessories,63
2015-05-11,Baseball & Softball,10
2015-05-11,Boxing & MMA,6
2015-05-11,Camping & Hiking,92
2015-05-11,Cardio Equipment,284
2015-05-11,Cleats,546
2015-05-11,Electronics,77
2015-05-11,Fishing,114
2015-05-11,Fitness Accessories,9
2015-05-11,Girls' Apparel,24
2015-05-11,Golf Apparel,5
2015-05-11,Golf Balls,45
2015-05-11,Golf Gloves,32
2015-05-11,Golf Shoes,8
2015-05-11,Hockey,26
2015-05-11,Hunting & Shooting,4
2015-05-11,Indoor/Outdoor Games,410
2015-05-11,Lacrosse,7
2015-05-11,Men's Footwear,141
2015-05-11,Shop By Sport,232
2015-05-11,Tennis & Racquet,7
2015-05-11,Trade-In,27
2015-05-11,Water Sports,111
2015-05-11,Women's Apparel,417
2015-05-18,Accessories,61
2015-05-18,Baseball & Softball,21
2015-05-18,Boxing & MMA,7
2015-05-18,Camping & Hiking,89
2015-05-18,Cardio Equipment,310
2015-05-18,Cleats,489
2015-05-18,Electronics,82
2015-05-18,Fishing,117
2015-05-18,Fitness Accessories,13
2015-05-18,Girls' Apparel,42
2015-05-18,Golf Apparel,9
2015-05-18,Golf Balls,33
2015-05-18,Golf Gloves,24
2015-05-18,Golf Shoes,13
2015-05-18,Hockey,16
2015-05-18,Hunting & Shooting,18
2015-05-18,Indoor/Outdoor Games,379
2015-05-18,Lacrosse,10
2015-05-18,Men's Footwear,166
2015-05-18,Shop By Sport,224
2015-05-18,Tennis & Racquet,7
2015-05-18,Trade-In,17
2015-05-18,Water Sports,101
2015-05-18,Women's Apparel,431
2015-05-25,Accessories,59
2015-05-25,Baseball & Softball,11
2015-05-25,Boxing & MMA,8
2015-05-25,Camping & Hiking,99
2015-05-25,Cardio Equipment,309
2015-05-25,Cleats,498
2015-05-25,Electronics,81
2015-05-25,Fishing,128
2015-05-25,Fitness Accessories,2
2015-05-25,Girls' Apparel,29
2015-05-25,Golf Apparel,5
2015-05-25,Golf Balls,64
2015-05-25,Golf Gloves,26
2015-05-25,Golf Shoes,14
2015-05-25,Hockey,16
2015-05-25,Indoor/Outdoor Games,380
2015-05-25,Lacrosse,10
2015-05-25,Men's Footwear,154
2015-05-25,Shop By Sport,231
2015-05-25,Tennis & Racquet,1
2015-05-25,Trade-In,33
2015-05-25,Water Sports,121
2015-05-25,Women's Apparel,482
2015-06-01,Accessories,41
2015-06-01,Baseball & Softball,19
2015-06-01,Boxing & MMA,4
2015-06-01,Camping & Hiking,89
2015-06-01,Cardio Equipment,344
2015-06-01,Cleats,497
2015-06-01,Electronics,66
2015-06-01,Fishing,113
2015-06-01,Girls' Apparel,12
2015-06-01,Golf Apparel,9
2015-06-01,Golf Balls,31
2015-06-01,Golf Gloves,39
2015-06-01,Golf Shoes,26
2015-06-01,Hockey,6
2015-06-01,Hunting & Shooting,4
2015-06-01,Indoor/Outdoor Games,409
2015-06-01,Lacrosse,4
2015-06-01,Men's Footwear,163
2015-06-01,Shop By Sport,227
2015-06-01,Tennis & Racquet,13
2015-06-01,Trade-In,38
2015-06-01,Water Sports,101
2015-06-01,Women's Apparel,394
2015-06-08,Accessories,44
2015-06-08,Baseball & Softball,2
2015-06-08,Camping & Hiking,102
2015-06-08,Cardio Equipment,312
2015-06-08,Cleats,419
2015-06-08,Electronics,55
2015-06-08,Fishing,137
2015-06-08,Fitness Accessories,8
2015-06-08,Girls' Apparel,45
2015-06-08,Golf Apparel,18
2015-06-08,Golf Balls,31
2015-06-08,Golf Gloves,9
2015-06-08,Hockey,26
2015-06-08,Hunting & Shooting,14
2015-06-08,Indoor/Outdoor Games,357
2015-06-08,Lacrosse,4
2015-06-08,Men's Footwear,174
2015-06-08,Shop By Sport,189
2015-06-08,Tennis & Racquet,2
2015-06-08,Trade-In,15
2015-06-08,Water Sports,94
2015-06-08,Women's Apparel,411
2015-06-15,Accessories,46
2015-06-15,Baseball & Softball,4
2015-06-15,Boxing & MMA,9
2015-06-15,Camping & Hiking,94
2015-06-15,Cardio Equipment,264
2015-06-15,Cleats,579
2015-06-15,Electronics,97
2015-06-15,Fishing,114
2015-06-15,Fitness Accessories,16
2015-06-15,Girls' Apparel,44
2015-06-15,Golf Apparel,5
2015-06-15,Golf Balls,22
2015-06-15,Golf Gloves,16
2015-06-15,Golf Shoes,16
2015-06-15,Hockey,6
2015-06-15,Hunting & Shooting,2
2015-06-15,Indoor/Outdoor Games,452
2015-06-15,Lacrosse,7
2015-06-15,Men's Footwear,133
2015-06-15,Shop By Sport,243
2015-06-15,Tennis & Racquet,4
2015-06-15,Trade-In,24
2015-06-15,Water Sports,115
2015-06-15,Women's Apparel,398
2015-06-22,Accessories,40
2015-06-22,Baseball & Softball,14
2015-06-22,Boxing & MMA,9
2015-06-22,Camping & Hiking,87
2015-06-22,Cardio Equipment,257
2015-06-22,Cleats,529
2015-06-22,Electronics,93
2015-06-22,Fishing,129
2015-06-22,Fitness Accessories,8
2015-06-22,Girls' Apparel,42
2015-06-22,Golf Apparel,9
2015-06-22,Golf Balls,32
2015-06-22,Golf Gloves,22
2015-06-22,Golf Shoes,6
2015-06-22,Hockey,19
2015-06-22,Hunting & Shooting,1
2015-06-22,Indoor/Outdoor Games,326
2015-06-22,Men's Footwear,135
2015-06-22,Shop By Sport,208
2015-06-22,Tennis & Racquet,5
2015-06-22,Trade-In,7
2015-06-22,Water Sports,124
2015-06-22,Women's Apparel,432
2015-06-29,Accessories,56
2015-06-29,Baseball & Softball,19
2015-06-29,Camping & Hiking,102
2015-06-29,Cardio Equipment,309
2015-06-29,Cleats,526
2015-06-29,Electronics,71
2015-06-29,Fishing,137
2015-06-29,Fitness Accessories,5
2015-06-29,Girls' Apparel,22
2015-06-29,Golf Balls,29
2015-06-29,Golf Gloves,11
2015-06-29,Golf Shoes,5
2015-06-29,Hockey,15
2015-06-29,Hunting & Shooting,9
2015-06-29,Indoor/Outdoor Games,488
2015-06-29,Lacrosse,15
2015-06-29,Men's Footwear,159
2015-06-29,Shop By Sport,259
2015-06-29,Tennis & Racquet,3
2015-06-29,Trade-In,17
2015-06-29,Water Sports,92
2015-06-29,Women's Apparel,449
2015-07-06,Accessories,61
2015-07-06,Baseball & Softball,31
2015-07-06,Boxing & MMA,5
2015-07-06,Camping & Hiking,86
2015-07-06,Cardio Equipment,245
2015-07-06,Cleats,469
2015-07-06,Electronics,84
2015-07-06,Fishing,131
2015-07-06,Girls' Apparel,9
2015-07-06,Golf Apparel,29
2015-07-06,Golf Balls,25
2015-07-06,Golf Gloves,15
2015-07-06,Golf Shoes,6
2015-07-06,Hockey,10
2015-07-06,Hunting & Shooting,2
2015-07-06,Indoor/Outdoor Games,410
2015-07-06,Lacrosse,5
2015-07-06,Men's Footwear,156
2015-07-06,Shop By Sport,230
2015-07-06,Tennis & Racquet,25
2015-07-06,Trade-In,22
2015-07-06,Water Sports,115
2015-07-06,Women's Apparel,475
2015-07-13,Accessories,29
2015-07-13,Baseball & Softball,6
2015-07-13,Camping & Hiking,91
2015-07-13,Cardio Equipment,261
2015-07-13,Cleats,567
2015-07-13,Electronics,90
2015-07-13,Fishing,113
2015-07-13,Fitness Accessories,14
2015-07-13,Girls' Apparel,54
2015-07-13,Golf Apparel,7
2015-07-13,Golf Balls,38
2015-07-13,Golf Gloves,21
2015-07-13,Golf Shoes,17
2015-07-13,Hockey,19
2015-07-13,Hunting & Shooting,5
2015-07-13,Indoor/Outdoor Games,391
2015-07-13,Lacrosse,8
2015-07-13,Men's Footwear,169
2015-07-13,Shop By Sport,191
2015-07-13,Tennis & Racquet,3
2015-07-13,Trade-In,21
2015-07-13,Water Sports,109
2015-07-13,Women's Apparel,531
2015-07-20,Accessories,45
2015-07-20,Baseball & Softball,15
2015-07-20,Boxing & MMA,8
2015-07-20,Camping & Hiking,100
2015-07-20,Cardio Equipment,216
2015-07-20,Cleats,463
2015-07-20,Electronics,66
2015-07-20,Fishing,102
2015-07-20,Fitness Accessories,5
2015-07-20,Girls' Apparel,24
2015-07-20,Golf Apparel,4
2015-07-20,Golf Balls,39
2015-07-20,Golf Gloves,16
2015-07-20,Golf Shoes,3
2015-07-20,Hockey,18
2015-07-20,Hunting & Shooting,23
2015-07-20,Indoor/Outdoor Games,422
2015-07-20,Lacrosse,3
2015-07-20,Men's Footwear,149
2015-07-20,Shop By Sport,280
2015-07-20,Tennis & Racquet,10
2015-07-20,Trade-In,28
2015-07-20,Water Sports,106
2015-07-20,Women's Apparel,425
2015-07-27,Accessories,23
2015-07-27,Baseball & Softball,9
2015-07-27,Camping & Hiking,102
2015-07-27,Cardio Equipment,250
2015-07-27,Cleats,503
2015-07-27,Electronics,92
2015-07-27,Fishing,114
2015-07-27,Fitness Accessories,7
2015-07-27,Girls' Apparel,35
2015-07-27,Golf Apparel,8
2015-07-27,Golf Balls,39
2015-07-27,Golf Gloves,40
2015-07-27,Golf Shoes,5
2015-07-27,Hockey,2
2015-07-27,Hunting & Shooting,8
2015-07-27,Indoor/Outdoor Games,386
2015-07-27,Lacrosse,14
2015-07-27,Men's Footwear,139
2015-07-27,Shop By Sport,185
2015-07-27,Tennis & Racquet,13
2015-07-27,Trade-In,29
2015-07-27,Water Sports,112
2015-07-27,Women's Apparel,482
2015-08-03,Accessories,44
2015-08-03,Baseball & Softball,11
2015-08-03,Boxing & MMA,7
2015-08-03,Camping & Hiking,91
2015-08-03,Cardio Equipment,245
2015-08-03,Cleats,535
2015-08-03,Electronics,85
2015-08-03,Fishing,106
2015-08-03,Fitness Accessories,11
2015-08-03,Girls' Apparel,19
2015-08-03,Golf Apparel,12
2015-08-03,Golf Balls,44
2015-08-03,Golf Gloves,11
2015-08-03,Golf Shoes,2
2015-08-03,Hockey,34
2015-08-03,Hunting & Shooting,10
2015-08-03,Indoor/Outdoor Games,404
2015-08-03,Lacrosse,6
2015-08-03,Men's Footwear,164
2015-08-03,Shop By Sport,207
2015-08-03,Tennis & Racquet,10
2015-08-03,Trade-In,27
2015-08-03,Water Sports,98
2015-08-03,Women's Apparel,416
2015-08-10,Accessories,34
2015-08-10,Baseball & Softball,11
2015-08-10,Boxing & MMA,11
2015-08-10,Camping & Hiking,92
2015-08-10,Cardio Equipment,256
2015-08-10,Cleats,575
2015-08-10,Electronics,94
2015-08-10,Fishing,114
2015-08-10,Fitness Accessories,1
2015-08-10,Girls' Apparel,29
2015-08-10,Golf Apparel,15
2015-08-10,Golf Balls,36
2015-08-10,Golf Gloves,22
2015-08-10,Golf Shoes,4
2015-08-10,Hockey,12
2015-08-10,Hunting & Shooting,22
2015-08-10,Indoor/Outdoor Games,322
2015-08-10,Lacrosse,13
2015-08-10,Men's Footwear,148
2015-08-10,Shop By Sport,248
2015-08-10,Tennis & Racquet,8
2015-08-10,Trade-In,11
2015-08-10,Water Sports,107
2015-08-10,Women's Apparel,465
2015-08-17,Accessories,52
2015-08-17,Baseball & Softball,16
2015-08-17,Camping & Hiking,85
2015-08-17,Cardio Equipment,288
2015-08-17,Cleats,484
2015-08-17,Electronics,80
2015-08-17,Fishing,133
2015-08-17,Fitness Accessories,6
2015-08-17,Girls' Apparel,23
2015-08-17,Golf Apparel,15
2015-08-17,Golf Balls,24
2015-08-17,Golf Gloves,18
2015-08-17,Golf Shoes,3
2015-08-17,Hockey,2
2015-08-17,Hunting & Shooting,7
2015-08-17,Indoor/Outdoor Games,306
2015-08-17,Lacrosse,8
2015-08-17,Men's Footwear,146
2015-08-17,Shop By Sport,255
2015-08-17,Tennis & Racquet,7
2015-08-17,Trade-In,14
2015-08-17,Water Sports,116
2015-08-17,Women's Apparel,439
2015-08-24,Accessories,61
2015-08-24,Baseball & Softball,3
2015-08-24,Boxing & MMA,4
2015-08-24,Camping & Hiking,92
2015-08-24,Cardio Equipment,228
2015-08-24,Cleats,587
2015-08-24,Electronics,79
2015-08-24,Fishing,105
2015-08-24,Fitness Accessories,10
2015-08-24,Girls' Apparel,50
2015-08-24,Golf Apparel,3
2015-08-24,Golf Balls,41
2015-08-24,Golf Gloves,10
2015-08-24,Golf Shoes,21
2015-08-24,Hockey,34
2015-08-24,Hunting & Shooting,18
2015-08-24,Indoor/Outdoor Games,373
2015-08-24,Lacrosse,7
2015-08-24,Men's Footwear,157
2015-08-24,Shop By Sport,208
2015-08-24,Tennis & Racquet,12
2015-08-24,Trade-In,28
2015-08-24,Water Sports,118
2015-08-24,Women's Apparel,439
2015-08-31,Accessories,52
2015-08-31,Baseball & Softball,15
2015-08-31,Boxing & MMA,2
2015-08-31,Camping & Hiking,108
2015-08-31,Cardio Equipment,284
2015-08-31,Cleats,511
2015-08-31,Electronics,102
2015-08-31,Fishing,151
2015-08-31,Fitness Accessories,9
2015-08-31,Girls' Apparel,24
2015-08-31,Golf Balls,56
2015-08-31,Golf Gloves,20
2015-08-31,Golf Shoes,10
2015-08-31,Hockey,27
2015-08-31,Hunting & Shooting,8
2015-08-31,Indoor/Outdoor Games,409
2015-08-31,Lacrosse,2
2015-08-31,Men's Footwear,168
2015-08-31,Shop By Sport,226
2015-08-31,Trade-In,12
2015-08-31,Water Sports,102
